sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc
200,2/7/2017 16:00,F DZ12,SF,ZIE,76,7.51,48.8,0.2,0.1,0.01,0.066,0.002,2.58
201,2/8/2017 16:00,F DZ24,SF,ZIE,76,7.54,29.2,0.2,0.09,0,0.034,0.002,2.78
202,2/20/2017 12:00,DZ 13,SF,ZIE,89,7.67,25.5,0.23,0.12,0,0.033,0.003,2.68
203,2/20/2017 18:00,DZ 16,SF,ZIE,79,7.61,28.2,0.25,0.1,0,0.039,0.001,2.98
204,2/21/2017 2:00,DZ 20,SF,ZIE,75,7.61,35.5,0.25,0.09,0,0.052,0,3
205,2/21/2017 10:00,DZ 24,SF,ZIE,77,7.61,26.4,0.2,0.07,0,0.036,0,2.4
206,2/22/2017 10:00,Manual,SF,ZIE,85,7.64,21.9,0.07,0.01,0,0.024,0.001,2.06
207,2/20/2017 14:00,DW 14,SF,WIL,111,7.53,16.9,0.3,0.19,0,0.03,0.008,1.93
208,2/20/2017 20:00,DW 17,SF,WIL,108,7.47,22.5,0.31,0.17,0,0.039,0.008,2.55
209,2/21/2017 2:00,DW 20,SF,WIL,101,7.78,27,0.4,0.24,0,0.061,0.017,2.59
210,2/21/2017 10:00,DW 24,SF,WIL,101,7.82,23.4,0.39,0.24,0,0.049,0.011,2.19
211,2/22/2017 11:20,Manual,SF,WIL,94,7.43,18.3,0.15,0.09,0,0.033,0,2.34
212,2/20/2017 12:00,DU13,SF,UQL,91,7.39,24.4,0.33,0.16,0,0.027,0,3.24
213,2/20/2017 20:00,DU17,SF,UQL,108,7.39,23.6,0.33,0.01,0,0.033,0.009,2.12
214,2/21/2017 0:00,DU19,SF,UQL,86,7.53,28.6,0.37,0.18,0,0.033,0,3.73
215,2/21/2017 10:00,DU 24,SF,UQL,84,7.47,28.9,0.35,0.19,0,0.03,0,3.1
216,2/22/2017 12:40,Manual,SF,UQL,89,7.41,27.1,0.14,0.01,0,0.027,0.001,2.54
217,2/20/2017 12:00,DT 13,SF,TRE,97,7.41,11.1,0.31,0.17,0,0.018,0,2.07
218,2/20/2017 18:00,DT 16,SF,TRE,93,7.65,19.6,0.32,0.17,0,0.033,0.001,2.73
